lineage	scope	seed	panel_id	scenario	approach	n_leaves	n_contaminants	n_predicted	n_true_positive	n_false_positive	precision	recall	f1	tree_rf_delta	collateral_genome_loss_count	runtime_seconds	status
chlam	family	202	chlam_family	combined	plie	486	4	22	4	18	0.18181818181818182	1.0	0.3076923076923077	0.0	0	0.2633938789367676	ok
chlam	family	303	chlam_family	replacement_only	recipient_consensus	0	4	4	4	0	1.0	1.0	1.0	0.0638297872340425	0	0.0	ok
chlam	family	303	chlam_family	replacement_only	gcp	486	4	8	4	4	0.5	1.0	0.6666666666666666	0.0	0	0.2279360294342041	ok
chlam	family	303	chlam_family	replacement_only	cmtv	486	4	21	0	21	0.0	0.0	0.0	0.0	0	0.2226705551147461	ok
chlam	family	303	chlam_family	replacement_only	plie	486	4	25	4	21	0.16	1.0	0.2758620689655173	0.0	0	0.276012659072876	ok
chlam	family	303	chlam_family	combined	recipient_consensus	0	4	3	3	0	1.0	0.75	0.8571428571428571	0.0425531914893617	0	0.0	ok
chlam	family	303	chlam_family	combined	gcp	486	4	8	3	5	0.375	0.75	0.5	0.0	0	0.22744226455688477	ok
chlam	family	303	chlam_family	combined	cmtv	486	4	24	1	23	0.041666666666666664	0.25	0.07142857142857142	0.0	0	0.22538042068481445	ok
chlam	family	303	chlam_family	combined	plie	486	4	18	4	14	0.2222222222222222	1.0	0.3636363636363636	0.0	0	0.30803632736206055	ok
chlam	order	101	chlam_order	replacement_only	recipient_consensus	0	4	3	3	0	1.0	0.75	0.8571428571428571	0.0	0	0.0	ok
chlam	order	101	chlam_order	replacement_only	gcp	486	4	7	4	3	0.5714285714285714	1.0	0.7272727272727273	0.0	0	0.22773241996765137	ok
chlam	order	101	chlam_order	replacement_only	cmtv	486	4	24	1	23	0.041666666666666664	0.25	0.07142857142857142	0.0	0	0.21854829788208008	ok
chlam	order	101	chlam_order	replacement_only	plie	486	4	24	4	20	0.16666666666666666	1.0	0.2857142857142857	0.0	0	0.29932570457458496	ok
