lineage	scope	scenario	approach	n_panels	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	n_true_positive_mean	n_true_positive_std	n_false_positive_mean	n_false_positive_std
chlam	family	combined	cmtv	3	0.04237373737373737	0.0022822471773121227	0.25	0.0	0.07243905519767589	0.0033263089761939335	1.0	0.0	22.666666666666668	1.247219128924647
chlam	family	combined	gcp	3	0.4583333333333333	0.05892556509887896	0.9166666666666666	0.11785113019775792	0.611111111111111	0.0785674201318386	3.6666666666666665	0.4714045207910317	4.333333333333333	0.4714045207910317
chlam	family	combined	plie	3	0.18596218596218597	0.028067790073336568	1.0	0.0	0.3126651126651127	0.03974357075529639	4.0	0.0	18.0	3.265986323710904
chlam	family	combined	recipient_consensus	3	1.0	0.0	0.75	0.0	0.8571428571428571	0.0	3.0	0.0	0.0	0.0
chlam	family	replacement_only	cmtv	3	0.013333333333333334	0.018856180831641266	0.08333333333333333	0.11785113019775792	0.02298850574712644	0.032510656606278054	0.3333333333333333	0.4714045207910317	23.666666666666668	2.0548046676563256
chlam	family	replacement_only	gcp	3	0.4761904761904762	0.0336717514850737	0.9166666666666666	0.11785113019775792	0.6262626262626262	0.05713994191406445	3.6666666666666665	0.4714045207910317	4.0	0.0
chlam	family	replacement_only	plie	3	0.16945697577276522	0.01488765872129245	0.9166666666666666	0.11785113019775792	0.28557721139430287	0.025098340897408308	3.6666666666666665	0.4714045207910317	18.0	2.160246899469287
chlam	family	replacement_only	recipient_consensus	3	1.0	0.0	0.9166666666666666	0.11785113019775792	0.9523809523809524	0.0673435029701474	3.6666666666666665	0.4714045207910317	0.0	0.0
chlam	genus	combined	cmtv	3	0.06101319710515113	0.015004225575109761	0.4166666666666667	0.11785113019775792	0.1064032988393389	0.026664323897046857	1.6666666666666667	0.4714045207910317	25.333333333333332	1.247219128924647
chlam	genus	combined	gcp	3	0.15	0.10801234497346433	0.25	0.2041241452319315	0.1851851851851852	0.13857990321384966	1.0	0.816496580927726	4.333333333333333	1.247219128924647
chlam	genus	combined	plie	3	0.06421245421245421	0.02019036188742586	0.4166666666666667	0.11785113019775792	0.11125478927203065	0.034525901597544074	1.6666666666666667	0.4714045207910317	24.666666666666668	1.699673171197595
chlam	genus	combined	recipient_consensus	3	0.6666666666666666	0.4714045207910317	0.16666666666666666	0.11785113019775792	0.26666666666666666	0.1885618083164127	0.6666666666666666	0.4714045207910317	0.0	0.0
chlam	genus	replacement_only	cmtv	3	0.05163561076604555	0.014067587888722779	0.3333333333333333	0.11785113019775792	0.08934653043848446	0.025296926783816433	1.3333333333333333	0.4714045207910317	24.0	1.632993161855452
chlam	genus	replacement_only	gcp	3	0.10317460317460318	0.07360014678964844	0.16666666666666666	0.11785113019775792	0.1272727272727273	0.09030099651970509	0.6666666666666666	0.4714045207910317	5.666666666666667	0.4714045207910317
chlam	genus	replacement_only	plie	3	0.04038961038961039	0.003985976429408522	0.25	0.0	0.06946286472148543	0.005898689282048143	1.0	0.0	24.0	2.449489742783178
chlam	genus	replacement_only	recipient_consensus	3	0.3333333333333333	0.4714045207910317	0.08333333333333333	0.11785113019775792	0.13333333333333333	0.1885618083164127	0.3333333333333333	0.4714045207910317	0.0	0.0
